term,category,weight
missing,ANX_SCORE,9.994022755
tha,ANX_SCORE,6.366806268
pacific,ANX_SCORE,-1.031213642
recognize,ANX_SCORE,-1.150880009
ky,ANX_SCORE,-0.06732882
charity,ANX_SCORE,0.158500908
knew,ANX_SCORE,13.65095464
kisses,ANX_SCORE,-0.210990818
grad,ANX_SCORE,-4.274943187
li,ANX_SCORE,2.019042693
spiritual,ANX_SCORE,-5.384256946
halfway,ANX_SCORE,-2.013352268
bedroom,ANX_SCORE,1.9731154
peers,ANX_SCORE,-1.201641907
remembered,ANX_SCORE,-1.624741869
complaints,ANX_SCORE,-0.977302888
utterly,ANX_SCORE,-0.365531491
uhh,ANX_SCORE,-1.413464825
deleted,ANX_SCORE,2.028667996
lectures,ANX_SCORE,0.733678253
cupcake,ANX_SCORE,0.919345449
it'd,ANX_SCORE,0.794331085
bros,ANX_SCORE,-1.247084145
nearest,ANX_SCORE,-0.86373789
broke,ANX_SCORE,5.679589552
super,ANX_SCORE,-7.01958185
shuffle,ANX_SCORE,0.315217414
pumped,ANX_SCORE,-4.650016203
slipped,ANX_SCORE,-1.843447529
stoked,ANX_SCORE,-6.182254326
beard,ANX_SCORE,-3.11390421
form,ANX_SCORE,-0.579934113
insanely,ANX_SCORE,1.136283379
hunting,ANX_SCORE,-0.344789569
cinnamon,ANX_SCORE,-0.471988733
awesome,ANX_SCORE,-21.8853588
assignments,ANX_SCORE,7.546435273
uhm,ANX_SCORE,0.226521591
zone,ANX_SCORE,-3.585300588
key,ANX_SCORE,-8.052241853
backwards,ANX_SCORE,-1.628440877
truth,ANX_SCORE,-19.18916572
tunes,ANX_SCORE,-1.266829297
weren't,ANX_SCORE,-0.471377946
vampire,ANX_SCORE,-0.06636218
rant,ANX_SCORE,2.441954733
creatures,ANX_SCORE,-0.352812041
that'll,ANX_SCORE,-0.277328543
cent,ANX_SCORE,-0.279744138
someday,ANX_SCORE,2.827997411
worn,ANX_SCORE,0.343440159
musician,ANX_SCORE,0.011466714
pen,ANX_SCORE,-0.793671871
zach,ANX_SCORE,-3.215460529
joyful,ANX_SCORE,-1.707939189
revolution,ANX_SCORE,0.164040374
deep,ANX_SCORE,-7.279331715
gun,ANX_SCORE,-10.84999011
strongest,ANX_SCORE,0.343525254
temptation,ANX_SCORE,-1.269194432
turned,ANX_SCORE,0.107429916
mountain,ANX_SCORE,-9.111628485
champs,ANX_SCORE,-0.796131928
hide,ANX_SCORE,5.90172757
manager,ANX_SCORE,-0.649905625
grandmas,ANX_SCORE,-0.013371709
arts,ANX_SCORE,0.377983394
caps,ANX_SCORE,-0.412772691
string,ANX_SCORE,2.012050637
dc,ANX_SCORE,1.602828387
sack,ANX_SCORE,0.113882476
request,ANX_SCORE,-0.135596975
raised,ANX_SCORE,0.405476672
chairs,ANX_SCORE,-0.305664385
nov,ANX_SCORE,1.136814807
grand,ANX_SCORE,-6.330538498
gratitude,ANX_SCORE,-3.312688645
costumes,ANX_SCORE,1.19245412
donated,ANX_SCORE,-0.284861231
rockstar,ANX_SCORE,0.335496967
save,ANX_SCORE,15.7159329
dads,ANX_SCORE,2.771723019
bomb,ANX_SCORE,-3.949870661
speechless,ANX_SCORE,1.049407039
khan,ANX_SCORE,-0.963176568
softball,ANX_SCORE,-6.660253815
potato,ANX_SCORE,-0.706657481
grow,ANX_SCORE,5.23660647
pursuit,ANX_SCORE,-1.102546706
advise,ANX_SCORE,-0.872318674
brunch,ANX_SCORE,-0.430370338
oprah,ANX_SCORE,-0.275313016
considered,ANX_SCORE,-2.297536622
triple,ANX_SCORE,0.710244226
wanting,ANX_SCORE,4.609629336
bummed,ANX_SCORE,0.363818436
dumped,ANX_SCORE,-0.578363417
hobby,ANX_SCORE,0.535280382
errands,ANX_SCORE,2.670959285
wedding,ANX_SCORE,7.925684522
market,ANX_SCORE,-2.486642831
problems,ANX_SCORE,3.785536867
fix,ANX_SCORE,8.790305868
absence,ANX_SCORE,-0.464398038
kills,ANX_SCORE,-0.333301579
writes,ANX_SCORE,0.218434921
brave,ANX_SCORE,1.433354987
hours,ANX_SCORE,-11.84248262
dignity,ANX_SCORE,-0.498566556
round,ANX_SCORE,-11.79952905
bury,ANX_SCORE,0.640864793
delight,ANX_SCORE,-1.322116751
task,ANX_SCORE,-2.185705255
gentle,ANX_SCORE,-0.902655169
we'll,ANX_SCORE,9.469036671
dodge,ANX_SCORE,0.888704642
minus,ANX_SCORE,-0.804843141
