term,category,weight
brakes,ANG_SCORE,0.006136589
bedroom,ANG_SCORE,2.89076444
spinning,ANG_SCORE,-0.009456181
grief,ANG_SCORE,0.708572275
enthusiasm,ANG_SCORE,0.152890425
mature,ANG_SCORE,0.155306567
walking,ANG_SCORE,-0.014967748
reset,ANG_SCORE,-0.1921544
require,ANG_SCORE,0.023746065
ward,ANG_SCORE,0.238843099
normal,ANG_SCORE,-6.291389701
loved,ANG_SCORE,5.140042927
economy,ANG_SCORE,0.022491946
wonderful,ANG_SCORE,-11.37498857
infinite,ANG_SCORE,-0.630138761
pass,ANG_SCORE,-6.104121966
signal,ANG_SCORE,-0.147425078
abandoned,ANG_SCORE,1.22825961
shutting,ANG_SCORE,0.177231927
equal,ANG_SCORE,0.89881395
bible,ANG_SCORE,-3.976507835
snooze,ANG_SCORE,-0.091932529
psycho,ANG_SCORE,0.691003551
gal,ANG_SCORE,0.127189323
outer,ANG_SCORE,-1.230056487
confusion,ANG_SCORE,0.369679876
slight,ANG_SCORE,0.459786672
donuts,ANG_SCORE,-0.050002428
weed,ANG_SCORE,0.556116399
dicks,ANG_SCORE,-0.170294563
drank,ANG_SCORE,-0.977553754
salute,ANG_SCORE,0.152299875
toss,ANG_SCORE,0.716333663
dream,ANG_SCORE,-5.061506241
bullet,ANG_SCORE,-0.999582891
ten,ANG_SCORE,-1.273533282
joey,ANG_SCORE,0.284349439
vomit,ANG_SCORE,0.504192932
wa,ANG_SCORE,-1.59875331
bullshit,ANG_SCORE,7.965155312
laser,ANG_SCORE,-0.446437411
friday,ANG_SCORE,-4.377731919
person,ANG_SCORE,-1.383548014
jess,ANG_SCORE,0.989531989
ai,ANG_SCORE,-0.080881206
gentlemen,ANG_SCORE,-0.654294801
stairs,ANG_SCORE,0.826442097
worst,ANG_SCORE,16.51254956
tagging,ANG_SCORE,-0.073515218
won,ANG_SCORE,2.693499487
thirty,ANG_SCORE,-0.903917041
extraordinary,ANG_SCORE,-0.898851718
lucky,ANG_SCORE,1.2163206
lose,ANG_SCORE,-2.291147055
devils,ANG_SCORE,-0.208715851
temp,ANG_SCORE,-0.673490935
ole,ANG_SCORE,0.836000887
she'd,ANG_SCORE,1.231038777
huh,ANG_SCORE,0.852513914
shallow,ANG_SCORE,0.366804732
cheese,ANG_SCORE,-7.407257519
earthquakes,ANG_SCORE,0.022467091
cat,ANG_SCORE,-4.070467827
wasn't,ANG_SCORE,-1.050341778
gym,ANG_SCORE,3.868439859
clubs,ANG_SCORE,-0.513902868
dressed,ANG_SCORE,-0.331213535
paying,ANG_SCORE,1.204004321
exhausting,ANG_SCORE,0.134089445
fairly,ANG_SCORE,-1.000385903
squeeze,ANG_SCORE,-1.892217152
mouths,ANG_SCORE,0.379431693
ship,ANG_SCORE,-1.7073475
rude,ANG_SCORE,4.638739063
remix,ANG_SCORE,-0.593576077
sell,ANG_SCORE,2.463378505
hotel,ANG_SCORE,-3.692400033
tru,ANG_SCORE,-0.604779352
superb,ANG_SCORE,-0.12450925
id,ANG_SCORE,-1.106884225
making,ANG_SCORE,0.818700526
receiving,ANG_SCORE,-0.623142515
fiction,ANG_SCORE,-0.269203261
triple,ANG_SCORE,0.359366437
worm,ANG_SCORE,0.764882951
mcdonald's,ANG_SCORE,0.335135103
stress,ANG_SCORE,3.654894237
searching,ANG_SCORE,-0.963018277
mist,ANG_SCORE,-0.050460173
turning,ANG_SCORE,4.189384345
burrito,ANG_SCORE,-1.058461409
poop,ANG_SCORE,-0.483964615
visits,ANG_SCORE,1.054829442
sandwich,ANG_SCORE,-3.07498153
oklahoma,ANG_SCORE,0.7127424
creative,ANG_SCORE,0.857322082
poison,ANG_SCORE,1.140139485
eff,ANG_SCORE,-1.287361732
washer,ANG_SCORE,0.654563242
control,ANG_SCORE,3.539266795
lads,ANG_SCORE,-0.558022023
anymore,ANG_SCORE,8.318313792
figure,ANG_SCORE,2.233072819
pedophiles,ANG_SCORE,0.626132406
bitches,ANG_SCORE,3.98485916
jail,ANG_SCORE,0.804976414
church,ANG_SCORE,-3.560154233
wireless,ANG_SCORE,0.613038946
straw,ANG_SCORE,-0.655448821
lovers,ANG_SCORE,-0.230266903
clue,ANG_SCORE,1.074682286
panic,ANG_SCORE,-0.753018473
surprises,ANG_SCORE,-2.078091606
types,ANG_SCORE,0.41911653
sneak,ANG_SCORE,0.229712516
cart,ANG_SCORE,0.662109727
pigs,ANG_SCORE,1.016451609
muscles,ANG_SCORE,-2.263795118
kitchen,ANG_SCORE,-0.916262288
chicago,ANG_SCORE,1.870012771
sweaty,ANG_SCORE,-0.110289729
hold,ANG_SCORE,0.560836612
extremely,ANG_SCORE,1.579156895
scandal,ANG_SCORE,0.878583126
georgia,ANG_SCORE,1.366905443
sheep,ANG_SCORE,0.277509119
long,ANG_SCORE,2.093774075
thousand,ANG_SCORE,1.642373457
differences,ANG_SCORE,-0.179375353
highest,ANG_SCORE,0.235289095
drum,ANG_SCORE,-1.873746953
decisions,ANG_SCORE,2.131592947
doubt,ANG_SCORE,-1.22131196
blame,ANG_SCORE,5.573826151
texted,ANG_SCORE,0.730574423
portland,ANG_SCORE,-1.438328352
wash,ANG_SCORE,3.34595098
loss,ANG_SCORE,1.277824186
mud,ANG_SCORE,-0.41250145
duck,ANG_SCORE,-1.252400571
preparation,ANG_SCORE,-1.320959533
simple,ANG_SCORE,-6.069418193
trek,ANG_SCORE,-0.665949298
realizing,ANG_SCORE,-0.668585573
recall,ANG_SCORE,-0.414541739
goals,ANG_SCORE,-1.783314506
how's,ANG_SCORE,-0.630530971
saves,ANG_SCORE,-0.717602308
hatred,ANG_SCORE,1.027808751
blessed,ANG_SCORE,3.860846082
riddle,ANG_SCORE,-1.232079779
natural,ANG_SCORE,0.790309467
pack,ANG_SCORE,-0.637633106
funniest,ANG_SCORE,-1.119547949
front,ANG_SCORE,-10.27823884
aw,ANG_SCORE,0.492232782
prepared,ANG_SCORE,0.229119359
winners,ANG_SCORE,-0.811583218
finished,ANG_SCORE,1.736047518
submit,ANG_SCORE,0.675259295
sour,ANG_SCORE,0.386290818
walks,ANG_SCORE,-3.927580017
omfg,ANG_SCORE,1.939859143
written,ANG_SCORE,0.967305952
produce,ANG_SCORE,-0.895610145
softball,ANG_SCORE,0.648175997
longer,ANG_SCORE,-2.827245409
maine,ANG_SCORE,0.277719162
photoshop,ANG_SCORE,-0.727181141
handy,ANG_SCORE,0.793548358
deadly,ANG_SCORE,0.645890525
schools,ANG_SCORE,-1.494954052
mm,ANG_SCORE,-0.116706376
beep,ANG_SCORE,-0.678905075
ali,ANG_SCORE,0.199462066
costume,ANG_SCORE,0.791414655
vacation,ANG_SCORE,-0.2137255
stuck,ANG_SCORE,3.81721975
unbelievable,ANG_SCORE,0.656097463
planes,ANG_SCORE,-0.262957391
anniversary,ANG_SCORE,5.584411327
month,ANG_SCORE,-6.467434233
dutch,ANG_SCORE,-0.907026214
unexpected,ANG_SCORE,-0.644654899
btw,ANG_SCORE,1.137041079
figures,ANG_SCORE,0.269099975
li,ANG_SCORE,-0.472864742
gentleman,ANG_SCORE,-0.208480439
bless,ANG_SCORE,0.987634403
disappointed,ANG_SCORE,1.47097071
line,ANG_SCORE,2.026198707
cross,ANG_SCORE,-0.307216956
bday,ANG_SCORE,0.338447247
shaking,ANG_SCORE,1.299979061
someone's,ANG_SCORE,-1.902984168
twist,ANG_SCORE,0.394480305
ken,ANG_SCORE,0.229517356
unreal,ANG_SCORE,-0.234682576
cold,ANG_SCORE,2.675756627
classic,ANG_SCORE,-0.645079138
buy,ANG_SCORE,-1.321646417
convention,ANG_SCORE,0.229094712
i'll,ANG_SCORE,-6.918209399
energy,ANG_SCORE,-8.226320162
benefit,ANG_SCORE,0.387157316
flying,ANG_SCORE,-5.572111868
machines,ANG_SCORE,-1.165958653
challenge,ANG_SCORE,-0.661716729
dish,ANG_SCORE,-0.889902582
nooooo,ANG_SCORE,0.174674282
damned,ANG_SCORE,3.852615343
lease,ANG_SCORE,-0.47530565
bags,ANG_SCORE,2.391932544
shape,ANG_SCORE,-0.290670501
ending,ANG_SCORE,-2.148970898
scissors,ANG_SCORE,0.488754743
boy,ANG_SCORE,6.05566521
contact,ANG_SCORE,-6.733032873
holes,ANG_SCORE,0.075433755
slipping,ANG_SCORE,0.341507534
anatomy,ANG_SCORE,2.520550452
sites,ANG_SCORE,0.568874588
find,ANG_SCORE,0.005128666
building,ANG_SCORE,-2.615157792
ankle,ANG_SCORE,-1.055314597
enjoying,ANG_SCORE,-8.269149048
longest,ANG_SCORE,2.212078923
plates,ANG_SCORE,0.00286454
equipment,ANG_SCORE,1.014284052
stiff,ANG_SCORE,0.036698325
heh,ANG_SCORE,0.525510002
separate,ANG_SCORE,0.309447863
properly,ANG_SCORE,-0.632534509
believers,ANG_SCORE,-1.114447988
college,ANG_SCORE,-11.462818
listen,ANG_SCORE,-3.643841583
current,ANG_SCORE,1.405267624
quest,ANG_SCORE,-1.922453544
sweater,ANG_SCORE,0.942602037
task,ANG_SCORE,1.611051222
plants,ANG_SCORE,-0.268578445
angeles,ANG_SCORE,-0.881309447
tank,ANG_SCORE,-1.730646779
jacket,ANG_SCORE,-3.086919188
flooding,ANG_SCORE,-1.003542527
roller,ANG_SCORE,0.075568438
capital,ANG_SCORE,0.510371887
element,ANG_SCORE,0.071102247
extended,ANG_SCORE,0.278438772
ruled,ANG_SCORE,0.409739724
secretly,ANG_SCORE,0.713435667
closer,ANG_SCORE,0.938923347
replies,ANG_SCORE,-0.383159531
texas,ANG_SCORE,4.312743529
convinced,ANG_SCORE,0.353466161
east,ANG_SCORE,0.161048993
wedding,ANG_SCORE,-3.626902419
shouldn't,ANG_SCORE,1.994102464
wolf,ANG_SCORE,0.280192136
signs,ANG_SCORE,1.263144417
returned,ANG_SCORE,0.403527275
stage,ANG_SCORE,0.093063053
chains,ANG_SCORE,0.260122479
client,ANG_SCORE,0.127093786
trunk,ANG_SCORE,-0.428857121
coffee,ANG_SCORE,1.902470327
great,ANG_SCORE,-0.376352508
hotter,ANG_SCORE,-0.224719768
apt,ANG_SCORE,0.135171802
entry,ANG_SCORE,0.36242523
remove,ANG_SCORE,-0.240375471
coloring,ANG_SCORE,-0.235131694
pops,ANG_SCORE,-2.127748096
kool,ANG_SCORE,-1.222231427
fin,ANG_SCORE,-0.201670409
tmrw,ANG_SCORE,-0.886925748
destroying,ANG_SCORE,1.643014231
latte,ANG_SCORE,0.366594531
spice,ANG_SCORE,-0.030393355
sheet,ANG_SCORE,-0.625194599
forms,ANG_SCORE,-0.817331878
rant,ANG_SCORE,0.34265888
manage,ANG_SCORE,-1.039981784
inn,ANG_SCORE,0.925283017
cooler,ANG_SCORE,-1.752580013
purple,ANG_SCORE,3.068123074
dip,ANG_SCORE,0.050731759
listened,ANG_SCORE,-0.313972221
beauty,ANG_SCORE,-3.051858317
indians,ANG_SCORE,-0.38733382
lunch,ANG_SCORE,10.02926235
ant,ANG_SCORE,-0.497296048
twin,ANG_SCORE,-0.132309088
miami,ANG_SCORE,0.402578202
attractive,ANG_SCORE,0.063822962
beating,ANG_SCORE,2.572716348
job,ANG_SCORE,-14.42427306
wounded,ANG_SCORE,0.287530857
critical,ANG_SCORE,1.892998916
nerve,ANG_SCORE,0.911689507
pop,ANG_SCORE,-3.813840747
shakes,ANG_SCORE,-0.011365939
car,ANG_SCORE,-7.838834954
blizzard,ANG_SCORE,0.452844978
quality,ANG_SCORE,-2.304036471
pour,ANG_SCORE,-1.570240755
stick,ANG_SCORE,-0.676103216
finger,ANG_SCORE,-0.726308377
boys,ANG_SCORE,6.98904888
sharks,ANG_SCORE,-0.382291713
gran,ANG_SCORE,0.052317674
dies,ANG_SCORE,0.561741178
target,ANG_SCORE,1.386861361
infected,ANG_SCORE,0.259798608
mickey,ANG_SCORE,0.428938624
circles,ANG_SCORE,-1.752427354
internet,ANG_SCORE,3.171339444
cracks,ANG_SCORE,-0.460904184
wanted,ANG_SCORE,12.74784921
singers,ANG_SCORE,-0.392674415
words,ANG_SCORE,0.371946313
restaurant,ANG_SCORE,-1.216616917
accepted,ANG_SCORE,-0.757066622
oreo,ANG_SCORE,0.040721443
pearl,ANG_SCORE,0.183282012
milk,ANG_SCORE,-9.517858317
boxes,ANG_SCORE,0.30286557
