term,category,weight
paste,ANX_SCORE,0.566537352
house,ANX_SCORE,1.69779152
roman,ANX_SCORE,10.79226341
itunes,ANX_SCORE,-0.696040793
yup,ANX_SCORE,-0.125095285
cuddle,ANX_SCORE,6.276960052
wrongs,ANX_SCORE,12.97741223
sleepin,ANX_SCORE,-10.12158966
jewish,ANX_SCORE,-12.54798012
country,ANX_SCORE,4.634502989
silence,ANX_SCORE,13.02935555
punishment,ANX_SCORE,12.81145761
earthquakes,ANX_SCORE,38.84274846
we've,ANX_SCORE,0.357702585
jen,ANX_SCORE,44.60256253
thunder,ANX_SCORE,-14.57786023
kissing,ANX_SCORE,7.295656569
woohoo,ANX_SCORE,9.449977058
dinner,ANX_SCORE,0.517149076
tanning,ANX_SCORE,1.402365354
meals,ANX_SCORE,-1.120679117
gaya,ANX_SCORE,-0.125082535
tin,ANX_SCORE,14.55454566
chef,ANX_SCORE,-0.513107998
forest,ANX_SCORE,-4.863591571
final,ANX_SCORE,3.349256698
finding,ANX_SCORE,-0.606617338
carried,ANX_SCORE,19.0733994
quickly,ANX_SCORE,16.24856282
log,ANX_SCORE,-9.723748161
gates,ANX_SCORE,-16.1928408
eleven,ANX_SCORE,-4.164216721
cu,ANX_SCORE,2.793483893
agrees,ANX_SCORE,-17.83659152
february,ANX_SCORE,-9.013836182
tonights,ANX_SCORE,-14.69121823
bun,ANX_SCORE,-1.369007808
unnecessary,ANX_SCORE,22.45762827
applied,ANX_SCORE,1.554286578
par,ANX_SCORE,1.058332902
sisters,ANX_SCORE,0.262082515
madison,ANX_SCORE,5.380137244
abs,ANX_SCORE,-19.41185321
stinks,ANX_SCORE,14.947817
worm,ANX_SCORE,-6.891712145
mint,ANX_SCORE,1.125434704
marines,ANX_SCORE,-4.090463047
drown,ANX_SCORE,2.394097482
rainbows,ANX_SCORE,-0.927676249
gurl,ANX_SCORE,-1.026133825
cable,ANX_SCORE,-5.625453165
father,ANX_SCORE,-5.372508664
people,ANX_SCORE,0.845717918
po,ANX_SCORE,0.724894895
bicycle,ANX_SCORE,-5.784383596
counts,ANX_SCORE,-3.785746983
involves,ANX_SCORE,-11.26552263
mcdonald's,ANX_SCORE,-14.52602522
app,ANX_SCORE,6.23952042
noble,ANX_SCORE,-30.83744279
gut,ANX_SCORE,12.23677089
freezing,ANX_SCORE,4.829432228
happend,ANX_SCORE,3.594791313
seconds,ANX_SCORE,-4.762906886
goodies,ANX_SCORE,-1.27751561
spin,ANX_SCORE,-8.896535567
revenge,ANX_SCORE,2.158308452
wnt,ANX_SCORE,-0.024822946
kenny,ANX_SCORE,-19.55143538
bathing,ANX_SCORE,-3.224961912
hopeless,ANX_SCORE,27.6246109
bachelor,ANX_SCORE,-18.44040139
salon,ANX_SCORE,8.82480028
rated,ANX_SCORE,-8.878643878
throw,ANX_SCORE,-23.35573168
craving,ANX_SCORE,-5.689443723
curious,ANX_SCORE,-2.97559004
refreshed,ANX_SCORE,-26.87528505
licking,ANX_SCORE,17.7139959
shutter,ANX_SCORE,-8.196237868
legally,ANX_SCORE,-0.449807654
tastes,ANX_SCORE,4.339903945
heights,ANX_SCORE,9.663381346
asks,ANX_SCORE,-15.38898405
license,ANX_SCORE,-39.53164349
olds,ANX_SCORE,-0.001991713
impossible,ANX_SCORE,-35.49862457
defend,ANX_SCORE,-16.53293214
arguments,ANX_SCORE,-7.237802639
brazil,ANX_SCORE,-7.258183098
facts,ANX_SCORE,-24.76052464
shits,ANX_SCORE,-4.58290475
shirts,ANX_SCORE,0.785276365
pillows,ANX_SCORE,-21.71703491
pony,ANX_SCORE,-2.150952543
johnson,ANX_SCORE,2.75608041
amigos,ANX_SCORE,-0.266654793
joel,ANX_SCORE,1.986052843
position,ANX_SCORE,-6.332377875
youve,ANX_SCORE,-1.108252305
mt,ANX_SCORE,-56.78462563
pissed,ANX_SCORE,31.47124147
friendly,ANX_SCORE,-11.23161394
absolutly,ANX_SCORE,-0.054070101
invite,ANX_SCORE,-3.608945778
headin,ANX_SCORE,-14.04762312
internship,ANX_SCORE,3.828514023
conversation,ANX_SCORE,-1.338625042
state,ANX_SCORE,-22.23576491
chan,ANX_SCORE,21.63908832
beginnings,ANX_SCORE,1.898001461
loses,ANX_SCORE,0.379679369
