term,category,weight
collect,ANX_SCORE,3.928928998
managed,ANX_SCORE,-3.173416765
burst,ANX_SCORE,-1.081443151
rejection,ANX_SCORE,6.944197413
rats,ANX_SCORE,0.390857683
chosen,ANX_SCORE,-0.665583244
fridge,ANX_SCORE,4.260012292
shade,ANX_SCORE,1.389351265
typical,ANX_SCORE,-3.087175873
miley,ANX_SCORE,-2.224635431
doctors,ANX_SCORE,17.6457485
door,ANX_SCORE,5.5568526
positive,ANX_SCORE,-6.135138171
consists,ANX_SCORE,-5.618974557
impatient,ANX_SCORE,5.746744759
roommate,ANX_SCORE,2.533630308
planned,ANX_SCORE,-6.977420145
gravity,ANX_SCORE,-5.038025179
site,ANX_SCORE,3.393726546
deep,ANX_SCORE,-25.86372902
thirsty,ANX_SCORE,-19.42404716
beat,ANX_SCORE,-2.166160428
fifty,ANX_SCORE,-11.20311621
waving,ANX_SCORE,1.408931114
cards,ANX_SCORE,-2.247351142
dinners,ANX_SCORE,-3.327080409
fitting,ANX_SCORE,9.648536086
nail,ANX_SCORE,2.008301254
barnes,ANX_SCORE,0.291996623
ummmm,ANX_SCORE,-2.238987736
barrel,ANX_SCORE,3.427841676
giant,ANX_SCORE,-8.283671178
writers,ANX_SCORE,3.974463359
logical,ANX_SCORE,1.420550631
beta,ANX_SCORE,-14.27289455
clueless,ANX_SCORE,-2.584015278
chicago,ANX_SCORE,6.46740951
sung,ANX_SCORE,-0.042555077
eve,ANX_SCORE,0.848216652
spoon,ANX_SCORE,-9.808504665
african,ANX_SCORE,-6.137562294
national,ANX_SCORE,2.047299349
child,ANX_SCORE,24.74434913
cookout,ANX_SCORE,-5.101506182
joey,ANX_SCORE,15.03708486
enjoys,ANX_SCORE,-5.900891637
thirty,ANX_SCORE,7.867448684
attend,ANX_SCORE,3.481345586
houses,ANX_SCORE,-12.49489
avoiding,ANX_SCORE,5.996130466
confidence,ANX_SCORE,8.620501152
advanced,ANX_SCORE,-14.56056857
marriage,ANX_SCORE,5.08236825
maintenance,ANX_SCORE,-3.15460621
credit,ANX_SCORE,-5.249954505
applying,ANX_SCORE,8.304054087
citizen,ANX_SCORE,3.403158569
tough,ANX_SCORE,5.117852579
mash,ANX_SCORE,3.553225447
toy,ANX_SCORE,-5.879581046
filling,ANX_SCORE,-3.11923483
warrior,ANX_SCORE,-11.67854814
radio,ANX_SCORE,-19.90596929
sparks,ANX_SCORE,7.190157728
lust,ANX_SCORE,-3.496098005
jail,ANX_SCORE,12.93344628
ate,ANX_SCORE,-16.37273801
aids,ANX_SCORE,7.80071351
lil,ANX_SCORE,-15.10689159
edition,ANX_SCORE,-9.067491372
complaining,ANX_SCORE,0.699842318
seats,ANX_SCORE,8.118306384
miserable,ANX_SCORE,17.53079097
challenging,ANX_SCORE,-1.69392252
reaching,ANX_SCORE,2.32966044
bucket,ANX_SCORE,-6.310307774
consumed,ANX_SCORE,-5.227610256
explosion,ANX_SCORE,-3.079796623
waste,ANX_SCORE,-14.90002097
tire,ANX_SCORE,-8.105763104
suicide,ANX_SCORE,2.47107332
colored,ANX_SCORE,2.890327304
posting,ANX_SCORE,17.19517383
capable,ANX_SCORE,-2.805645155
collecting,ANX_SCORE,5.054755937
remaining,ANX_SCORE,0.215227503
socks,ANX_SCORE,11.8102077
tunnel,ANX_SCORE,-4.112262646
nerves,ANX_SCORE,0.233617372
belated,ANX_SCORE,4.210930484
nails,ANX_SCORE,23.64853971
bitching,ANX_SCORE,-2.03722215
corn,ANX_SCORE,2.025682133
dish,ANX_SCORE,-4.105250818
heading,ANX_SCORE,-25.97682928
let's,ANX_SCORE,16.02171523
twat,ANX_SCORE,-5.889403777
illegal,ANX_SCORE,1.849050737
lobster,ANX_SCORE,-2.860963811
personality,ANX_SCORE,-9.927277244
accepting,ANX_SCORE,0.675645652
worm,ANX_SCORE,-8.401625169
deeds,ANX_SCORE,-12.36868558
forgive,ANX_SCORE,4.509937967
gained,ANX_SCORE,-13.53780836
shows,ANX_SCORE,-3.52066172
officer,ANX_SCORE,-5.364393524
globe,ANX_SCORE,9.964795452
distracted,ANX_SCORE,-11.01171951
comedy,ANX_SCORE,-3.33358606
vu,ANX_SCORE,-8.912932982
beard,ANX_SCORE,-15.26232009
classic,ANX_SCORE,-2.91975187
succeed,ANX_SCORE,2.368992209
shallow,ANX_SCORE,4.250292181
fits,ANX_SCORE,-1.252354894
feels,ANX_SCORE,2.869847395
poop,ANX_SCORE,-14.8380582
cabin,ANX_SCORE,-2.970742765
skin,ANX_SCORE,11.57394678
storm,ANX_SCORE,-8.70499361
sis,ANX_SCORE,9.049856503
combo,ANX_SCORE,6.264417893
aj,ANX_SCORE,-4.610177471
interesting,ANX_SCORE,5.011842308
refuse,ANX_SCORE,9.722314142
sober,ANX_SCORE,-7.827313707
butterfly,ANX_SCORE,-3.389341565
dogs,ANX_SCORE,-6.00420644
south,ANX_SCORE,6.113496989
meh,ANX_SCORE,3.941798184
id,ANX_SCORE,2.354894032
express,ANX_SCORE,1.698973874
there's,ANX_SCORE,16.12426037
lads,ANX_SCORE,14.4552274
offering,ANX_SCORE,0.678933914
directions,ANX_SCORE,-12.61310745
wagon,ANX_SCORE,3.731279941
goal,ANX_SCORE,-0.319821278
port,ANX_SCORE,12.67418211
decision,ANX_SCORE,9.655213583
poster,ANX_SCORE,-3.745649687
hurricane,ANX_SCORE,-3.267315849
shouldn't,ANX_SCORE,8.979406923
skills,ANX_SCORE,7.729228161
brand,ANX_SCORE,11.98159058
grounded,ANX_SCORE,6.961505753
emotions,ANX_SCORE,-3.168849133
nyquil,ANX_SCORE,-2.159248721
junk,ANX_SCORE,-3.259222206
sign,ANX_SCORE,-0.94567594
lazy,ANX_SCORE,8.052673798
drifting,ANX_SCORE,-2.317817068
humanity,ANX_SCORE,-8.328962081
christmas,ANX_SCORE,-6.781029972
sept,ANX_SCORE,-7.992957283
url,ANX_SCORE,-2.197430562
sitting,ANX_SCORE,-9.588018554
hurting,ANX_SCORE,2.891680801
bald,ANX_SCORE,9.041681782
moms,ANX_SCORE,0.880859486
en,ANX_SCORE,-6.625675113
coloring,ANX_SCORE,-5.560278407
sims,ANX_SCORE,18.46533482
rogers,ANX_SCORE,9.666004096
shift,ANX_SCORE,15.96230101
terrible,ANX_SCORE,13.73542925
bike,ANX_SCORE,-18.42945971
guard,ANX_SCORE,13.14899993
monitor,ANX_SCORE,4.167777288
lol,ANX_SCORE,-0.025884438
exists,ANX_SCORE,-4.846700884
link,ANX_SCORE,-13.47649005
horn,ANX_SCORE,2.948062781
hair,ANX_SCORE,19.72350416
lied,ANX_SCORE,4.191655228
lasagna,ANX_SCORE,4.043970185
wondering,ANX_SCORE,5.628468151
owned,ANX_SCORE,-6.374088559
tires,ANX_SCORE,-14.71512687
chain,ANX_SCORE,-1.835032049
packs,ANX_SCORE,-1.673613195
bulls,ANX_SCORE,-7.641490597
dried,ANX_SCORE,-2.293445634
daily,ANX_SCORE,16.22113005
lights,ANX_SCORE,-21.29068302
math,ANX_SCORE,4.146565499
anxious,ANX_SCORE,16.54811959
husband,ANX_SCORE,39.69100287
orientation,ANX_SCORE,11.19263155
retreat,ANX_SCORE,3.08236776
siblings,ANX_SCORE,8.19126061
disguise,ANX_SCORE,4.99233956
burns,ANX_SCORE,2.193253764
funny,ANX_SCORE,-46.15951096
miss,ANX_SCORE,26.63574697
security,ANX_SCORE,-7.514458751
physical,ANX_SCORE,-4.099967557
brains,ANX_SCORE,8.55077232
resume,ANX_SCORE,-6.866453666
perfection,ANX_SCORE,-1.124907653
hang,ANX_SCORE,-25.03213152
mouse,ANX_SCORE,5.675151254
goddess,ANX_SCORE,-1.5980477
rod,ANX_SCORE,-3.659394527
wild,ANX_SCORE,-25.49234109
stupidest,ANX_SCORE,-3.014759985
flipped,ANX_SCORE,-7.233323975
bites,ANX_SCORE,-3.331109013
smoothly,ANX_SCORE,-1.54588817
engineering,ANX_SCORE,8.659301793
father,ANX_SCORE,-1.663387958
verizon,ANX_SCORE,0.530488848
passing,ANX_SCORE,11.1396341
blast,ANX_SCORE,-23.56460203
hung,ANX_SCORE,-8.885037665
wakes,ANX_SCORE,7.51132688
weirdo,ANX_SCORE,-0.944153789
stops,ANX_SCORE,-10.93496317
cyrus,ANX_SCORE,6.755264355
plz,ANX_SCORE,25.49295448
horribly,ANX_SCORE,6.604556074
childhood,ANX_SCORE,-0.256841189
stunning,ANX_SCORE,-1.897185717
improve,ANX_SCORE,-6.314071597
dont,ANX_SCORE,-10.62723288
slap,ANX_SCORE,2.812707211
revealed,ANX_SCORE,-0.442119616
tiny,ANX_SCORE,6.796312376
niece,ANX_SCORE,2.143132436
blank,ANX_SCORE,5.366302212
sonic,ANX_SCORE,2.83174223
obsessed,ANX_SCORE,10.81272355
meant,ANX_SCORE,-2.275369034
ohhhhh,ANX_SCORE,0.199946132
